fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000234,2669,명동역.세종호텔,126.9864492986,37.5610860085
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000245,2680,남대문시장,126.9787309255,37.560967378
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000246,2681,이비스엠버서더호텔,126.9823877131,37.5643534324
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000279,2699,시청역더플라자호텔,126.978066,37.564836
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000286,2706,시청.서울신문사,126.9773647244,37.568299316
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000288,2707,프레이저플레이스남대문,126.9762665716,37.5613760047
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000311,2923,을지로입구,126.981001305,37.5661309607
2026-06-18T01:25:41.128559+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,정상 호출되었습니다.,101000312,2925,명동입구,126.9823015539,37.5641526235
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000059,3153,용산구청,126.991163,37.530303
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000094,3188,용산구청.이태원시장,126.9904706555,37.5343830489
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000095,3189,용산구청.이태원시장,126.9900096398,37.5341127106
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000096,3190,이태원역1번출구.해밀턴호텔,126.993043,37.534552
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000097,3191,이태원역4번출구.해밀턴호텔,126.9934293088,37.5343539681
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000098,3192,이태원119안전센터,126.996387,37.53479
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000099,3193,이태원119안전센터,126.997179939,37.534604145
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000100,3194,한남동주민센터,127.0004667254,37.5370458894
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000101,3195,한남동주민센터,127.0006042579,37.5367073033
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000189,3283,이태원역.보광동입구,126.994213,37.5334
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102000190,3284,이태원역.보광동입구,126.9942269972,37.5338224192
2026-06-18T01:25:41.128559+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,정상 호출되었습니다.,102900055,3572,이태원역앞,126.9957,37.534339
